TAREFA;DESCRICAO DAS TAREFAS;INICIO;DT. CRIAÇÃO DA TAREFA (PRIMAVERA);NECESSIDADE;Nº MRP;DT.MAT.PROJ.;DATA MRP;STATUS TRF;PRODUTO;MATERIAL;PART NUMBER;DESCRICAO;UM;QTDE EMP.;QTDE REQ.;SALDO EMPENHO;SOLIC/EMP;ARMZ;STATUS;OUTROS AMZ;NUM.SOLIC.;ITEM;FORNECEDOR;PEDIDO;DT.PEDIDO;ITEM;QTDE RECEB.;QTDE PEDIDO;VLR UNIT;VLR TOTAL;OBS.;Falta Qtde. Pedido;CUSTO EMPENHADO;CUSTO REQUISITADO;CHEGADA MIAMI;CHEGADA BRASIL;CHEGADA DIGEX;NOTA FISCAL;SERIE;DATA NF;LIB.ESTOQUE;LOCAL;QTDE LIB.;REF.IMP.;END.;OBSERVACAO;EDT;MAT. ALTERNATIVO;WBS;ATA;ZONA/AREA;SKILL
370607;DETAILED INSPECTION OF THE LEFT ENGINE FWD SUMP, AFT SUMP, AGB/TGB MAGNETIC CHIP DETECTORS;25/02/2026;05/02/2026;06/06/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000001125;Digex;65-90305-72;FILTER KIT CFM6-3 DETECTORS;KT;1;0;1;EMPENHO;01;-;;-;-;-;-;-;-;-;-;-;-;-;-;1343,84;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370607;DETAILED INSPECTION OF THE LEFT ENGINE FWD SUMP, AFT SUMP, AGB/TGB MAGNETIC CHIP DETECTORS;25/02/2026;05/02/2026;06/06/2022;029509;13/02/2026;17/02/2026;Não Iniciado;CS080200000143;Digex;RHODIASOLVE;RHODIASOLVE;L;0,5;0;0,5;EMPENHO;02;-;;028133;0001;-;-;-;-;-;-;-;-;-;-;11,39;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
375076;2018-26-06 - REPEAT INSP. LANDING GEAR CENTER DOOR ASSEMBLY ATTACHMENTS INSPECTION.;25/02/2026;06/02/2026;06/06/2022;029509;13/02/2026;17/02/2026;Não Iniciado;CS080400000003;Digex;AEROSHELL 33;GREASE AEROSHELL 33  TYPE3;LT;0,1;0;0,1;EMPENHO;02;-;01 = 2;024697;0001;001192-X5 COMPANY;033473;02/05/2018;0001;0;2;R$  1539.32;R$  3078.64;-;0;190,08;0;-;-;-;-;-;-;-;-;-;-;;-;DT;NÃO;Diretivas Técnicas;;;
375076;2018-26-06 - REPEAT INSP. LANDING GEAR CENTER DOOR ASSEMBLY ATTACHMENTS INSPECTION.;25/02/2026;06/02/2026;06/06/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000027876;Digex;002A0003-206;TOP KIT SB 737-52-1170;UN;1;0;1;EMPENHO;01;-;;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;;-;DT;NÃO;Diretivas Técnicas;;;
375148;INSPECTION OF THE  1 ENGINE  BLEED AIR 5TH STAGE CHECK VALVE.;25/02/2026;10/02/2026;06/06/2022;029509;13/02/2026;17/02/2026;Em execução;CS080700002770;Digex;TTN95;SOLVENT, ALIPHATIC;UN;0,05;0;0,05;EMPENHO;01;-;;-;-;-;-;-;-;-;-;-;-;-;-;357,67;0;-;-;-;-;-;-;-;-;-;-;;-;DT;NÃO;Diretivas Técnicas;;;
375149;INSPECTION OF THE  2 ENGINE BLEED AIR 5TH STAGE CHECK VALVE.;25/02/2026;10/02/2026;06/06/2022;029509;13/02/2026;17/02/2026;Em execução;CS080700002770;Digex;TTN95;SOLVENT, ALIPHATIC;UN;0,05;0;0,05;EMPENHO;01;-;;-;-;-;-;-;-;-;-;-;-;-;-;357,67;0;-;-;-;-;-;-;-;-;-;-;;-;DT;NÃO;Diretivas Técnicas;;;
370035;REPLACE THE RECIRCULATION FAN HEPA  FILTER(S).;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000027023;Digex;CD01068F2;FILTER;UN;2;0;2;SC+EMPENHO;01;-;;040939;0001;-;-;-;-;-;-;-;-;-;-;3060,65;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370036;REPLACE THE E/E COOLING SUPPLY FAN FILTER.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000001451;Digex;P196698;FILTER;UN;1;0;1;SC+EMPENHO;01;-;;040939;0002;-;-;-;-;-;-;-;-;-;-;1889,51;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370096;SERVICE THE HORIZONTAL TRIM ACTUATOR BRAKE.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Em execução;EP090000027028;Digex;M25988-1-110;PACKING;UN;2;0;2;EMPENHO;01;OK;;-;-;-;-;-;-;-;-;-;-;-;-;42,33;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370096;SERVICE THE HORIZONTAL TRIM ACTUATOR BRAKE.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Em execução;CS090000000095;Digex;BMS3-32TYPE II;LUBRICANTE;GL;0,3;0;0,3;SC+EMPENHO;01;-;;040939;0004;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370460;CHANGE IDG OIL - LEFT IDG;25/02/2026;10/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000000143;Digex;M83248-1-905;PACKING;UN;1;0;1;EMPENHO;01;OK;AV = 1 / IT = 2 / OC = 6;-;-;-;-;-;-;-;-;-;-;-;-;5,02;0;-;-;-;-;-;-;-;-;-;-;;-;TC;SIM;Task Card do Check;;;
370460;CHANGE IDG OIL - LEFT IDG;25/02/2026;10/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000027252;Digex;65-90305-85;FILTER IDG KIT;UN;1;0;1;SC+EMPENHO;01;-;;040939;0010;-;-;-;-;-;-;-;-;-;-;1056,47;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370460;CHANGE IDG OIL - LEFT IDG;25/02/2026;10/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000004179;Digex;M83248-1-226;PACKING;UN;1;0;1;EMPENHO;01;OK;;-;-;-;-;-;-;-;-;-;-;-;-;20,7;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370460;CHANGE IDG OIL - LEFT IDG;25/02/2026;10/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000012107;Digex;M83248-1-911;GASKET;UN;1;0;1;SC+EMPENHO;01;OK-CHECK;;040939;0011;-;-;-;-;-;-;-;-;-;-;1,37;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370582;REPLACE THE POSITIVE PRESSURE RELIEF VALVE FILTERS.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;EP090000000014;Digex;65-90305-67;FILTER KIT PRESSURIZATION SAFETY RELIEF  VALVE;KT;2;0;2;EMPENHO;01;-;;-;-;-;-;-;-;-;-;-;-;-;-;5454,89;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370606;REPLACE RIGHT IDG CHARGE AND SCAVENGE FILTERS.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Em execução;EP090000000143;Digex;M83248-1-905;PACKING;UN;1;0;1;EMPENHO;01;OK;AV = 1 / IT = 2 / OC = 6;-;-;-;-;-;-;-;-;-;-;-;-;5,02;0;-;-;-;-;-;-;-;-;-;-;;-;TC;SIM;Task Card do Check;;;
370606;REPLACE RIGHT IDG CHARGE AND SCAVENGE FILTERS.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Em execução;EP090000027252;Digex;65-90305-85;FILTER IDG KIT;UN;1;0;1;SC+EMPENHO;01;-;;040939;0010;-;-;-;-;-;-;-;-;-;-;1056,47;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370606;REPLACE RIGHT IDG CHARGE AND SCAVENGE FILTERS.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Em execução;EP090000004179;Digex;M83248-1-226;PACKING;UN;1;0;1;EMPENHO;01;OK;;-;-;-;-;-;-;-;-;-;-;-;-;20,7;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370896;SERVICE THE RIGHT MAIN LANDING GEAR SHOCK STRUT.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;CS090000000095;Digex;BMS3-32TYPE II;LUBRICANTE;GL;5;0;5;SC+EMPENHO;01;-;;040939;0004;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
370909;SERVICE THE NOSE LANDING GEAR SHOCK STRUT.;25/02/2026;05/02/2026;29/08/2022;029509;13/02/2026;17/02/2026;Não Iniciado;CS090000000095;Digex;BMS3-32TYPE II;LUBRICANTE;GL;5;0;5;SC+EMPENHO;01;-;;040939;0004;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;;-;TC;NÃO;Task Card do Check;;;
